zone,stand,sample,pH,totalC_pct,totalN_pct,C_N,d13C_mil,d15N_mil
hybrid,BSH,1,7.3,2.94506301,0.166488022,17.68942195,-22.05071389,2.60994284
hybrid,BSH,2,7.15,6.235615463,0.399209877,15.61989276,-26.88140303,1.800055549
hybrid,BSH,3,7.13,6.413048399,0.402031451,15.95160874,-27.98049036,0.818468256
hybrid,BSH,4,7.13,4.549665393,0.281647544,16.1537549,-27.7417795,0.971826972
hybrid,BSH,5,7.53,0.983396923,0.033152825,29.66253737,-12.08831039,6.069629085
hybrid,BSH,6,7.31,2.557606847,0.162861828,15.70415165,-27.66561838,3.021065202
hybrid,FSH,1,7.14,6.941921822,0.403315267,17.20084225,-26.6624283,2.368566918
hybrid,FSH,2,7.25,6.109347472,0.347680502,17.57172876,-25.4841806,2.667164855
hybrid,FSH,3,7.02,2.266666558,0.125716079,18.03004503,-21.92853757,2.848420843
hybrid,FSH,4,7.24,4.185887802,0.215251167,19.44652782,-24.00961228,2.739115963
hybrid,FSH,5,7.24,3.853568144,0.196508494,19.61018611,-23.73281192,2.96013198
hybrid,FSH,6,7.15,3.761249855,0.241776442,15.55672595,-26.65557335,2.786728515
narrowleaf,HEN,1,7.17,6.25068355,0.346058632,18.06393423,-26.01355979,1.843972833
narrowleaf,HEN,2,7.26,7.783897388,0.419681202,18.54716713,-25.38555283,1.172859094
narrowleaf,HEN,3,7.29,5.852887316,0.280264178,20.88346558,-23.14521446,2.183616731
narrowleaf,HEN,4,7.29,7.742355088,0.368567105,20.92516751,-26.40709847,1.897420376
narrowleaf,HEN,5,7.27,12.0693143,0.637004424,18.9469866,-27.8599121,1.503658241
narrowleaf,HEN,6,7.15,8.975804166,0.445570798,20.14450722,-28.45125871,0.628716393
fremont,INT,1,7.12,4.956231589,0.240440613,20.61312161,-22.00152947,4.361018281
fremont,INT,2,7.28,4.603312556,0.232590065,19.79152703,-21.96904554,4.498334513
fremont,INT,3,7.44,3.107075607,0.138373739,22.45403696,-17.06852439,4.749485549
fremont,INT,4,7.3,3.601120403,0.153443274,23.46874068,-20.60507748,3.850585926
fremont,INT,5,7.37,4.165571145,0.202650013,20.55549409,-20.59772947,4.085455975
fremont,INT,6,7.23,4.088223898,0.205222057,19.92097711,-20.41325305,3.548771678
narrowleaf,LCO,1,6.85,1.867878761,0.052366458,35.66937352,-12.35779028,3.604327927
narrowleaf,LCO,2,7.23,1.800261694,0.053877585,33.41392699,-12.80960405,3.506448694
narrowleaf,LCO,3,7.5,1.775680226,0.056793941,31.26531106,-14.16182092,4.122739595
narrowleaf,LCO,4,7.14,2.54563392,0.096009763,26.51432367,-15.70160884,5.505817158
narrowleaf,LCO,5,7.46,2.28398684,0.071155933,32.09833297,-15.04214302,5.285713106
narrowleaf,LCO,6,7.08,1.979275125,0.072367219,27.35706858,-17.12909989,4.289842598
fremont,LVY,1,7.24,2.469014953,0.129760804,19.02743256,-18.75724801,4.266880177
fremont,LVY,2,7.25,2.149913813,0.116049919,18.52576754,-20.76106139,4.17346104
fremont,LVY,3,7.3,2.19219519,0.108887571,20.13264839,-18.76279319,3.888604951
fremont,LVY,4,6.99,2.58320212,0.128441935,20.11182804,-18.45301209,4.002536928
fremont,LVY,5,7.21,3.739912068,0.185949367,20.11252921,-19.71468885,3.789635618
fremont,LVY,6,7.28,4.07288392,0.205988915,19.77234517,-19.78339176,4.468338813
fremont,RRD,1,7.38,4.544257296,0.236245735,19.23529878,-20.08488025,4.448050298
fremont,RRD,2,7.18,4.03204539,0.199426837,20.21816852,-19.41415864,4.375000676
fremont,RRD,3,7.32,4.12343541,0.195776684,21.06193302,-19.53113779,4.204855977
fremont,RRD,4,7.34,4.589819541,0.22791322,20.13845245,-20.46214994,3.954897918
fremont,RRD,5,7.41,3.220237485,0.149693312,21.51223351,-19.19282322,3.61216185
fremont,RRD,6,7.44,2.914198221,0.120148716,24.25492612,-18.79711745,3.601978071
narrowleaf,UCO,1,7.45,4.144887285,0.16570925,25.01301091,-19.70315174,3.600154945
narrowleaf,UCO,2,7.05,3.261459691,0.120524344,27.06058857,-20.75603158,3.150195082
narrowleaf,UCO,3,7.25,1.823700543,0.065217312,27.96344221,-17.56139554,2.851778272
narrowleaf,UCO,4,7.28,2.346412649,0.093295485,25.15033436,-18.38617397,3.873266596
narrowleaf,UCO,5,7.35,3.506766632,0.134312545,26.11475759,-19.57433188,3.588673129
narrowleaf,UCO,6,7.42,3.363413543,0.122333091,27.4938982,-18.78270707,3.217340264
hybrid,UIN,1,7.27,2.096908721,0.126875859,16.52724745,-22.67935079,4.845027227
hybrid,UIN,2,7.29,3.350766073,0.192875863,17.37265632,-23.27668308,4.43262283
hybrid,UIN,3,7.28,2.649667288,0.144716504,18.30936502,-23.04252234,4.859768982
hybrid,UIN,4,7.26,3.395432563,0.187790014,18.08100706,-24.63869149,4.333530675
hybrid,UIN,5,7.36,1.030438049,0.05672477,18.16763143,-18.86327156,3.125793238
hybrid,UIN,6,7.32,3.696057286,0.201196163,18.37041635,-23.86403046,4.025975713